Bldg:,Room:,Days:,Time:,Class Enrl Tot:
AMST, 489,Murray Hall,G205,Th,15:30 - 18:30,9
AMST, 493,TBA,TBA,TBA,TBA,0
AMST, 691H,New West,0103,Th,18:30 - 21:30,2
AMST, 700,Greenlaw,526A,W,15:35 - 18:35,8
AMST, 715,Dey Hall,0304,W,17:00 - 20:00,11
AMST, 795,TBA,TBA,TBA,TBA,1
AMST, 890,Greenlaw,0318,M,15:35 - 18:35,14
AMST, 895,TBA,TBA,TBA,TBA,2
AMST, 895,TBA,TBA,TBA,TBA,3
AMST, 895,TBA,TBA,TBA,TBA,1
AMST, 900,TBA,TBA,TBA,TBA,10
AMST, 901,TBA,TBA,TBA,TBA,1
AMST, 901,TBA,TBA,TBA,TBA,1
AMST, 902,Murphey,0117,TuTh,09:30 - 10:45,4
AMST, 993,TBA,TBA,TBA,TBA,0
AMST, 993,TBA,TBA,TBA,TBA,0
AMST, 993,TBA,TBA,TBA,TBA,0
AMST, 994,TBA,TBA,TBA,TBA,0
AMST, 994,TBA,TBA,TBA,TBA,1
AMST, 994,TBA,TBA,TBA,TBA,0
AMST, 994,TBA,TBA,TBA,TBA,1
AMST, 994,TBA,TBA,TBA,TBA,1
AMST, 994,TBA,TBA,TBA,TBA,1
AMST, 994,TBA,TBA,TBA,TBA,1
AMST, 994,TBA,TBA,TBA,TBA,1
CHER, 101,Dey Hall,107A,MWF,13:25 - 14:15,13
FOLK,  77H,Stone Center,0210,TuTh,11:00 - 12:15,23
FOLK, 202,Bingham,0103,TuTh,11:00 - 12:15,35
FOLK, 202,Dey Hall,0402,Th,14:00 - 14:50,9
FOLK, 202,Phillips,0228,Th,15:30 - 16:20,10
FOLK, 202,Graham Memorial,0038,F,09:05 - 09:55,8
FOLK, 202,Wilson,0202,F,12:20 - 13:10,8
FOLK, 370,Murphey,0204,TuTh,14:00 - 15:15,4
FOLK, 429,Dey Hall,0208,TuTh,12:30 - 13:45,4
FOLK, 487,Greenlaw,0319,TuTh,12:30 - 13:45,15
FOLK, 850,Murphey,0117,Tu,15:30 - 18:20,7
FOLK, 895,TBA,TBA,TBA,TBA,1
FOLK, 895,TBA,TBA,TBA,TBA,0
FOLK, 993,Greenlaw,526A,W,12:00 - 14:00,1
FOLK, 993,TBA,TBA,TBA,TBA,1
FOLK, 993,TBA,TBA,TBA,TBA,2
FOLK, 993,TBA,TBA,TBA,TBA,1
FOLK, 993,TBA,TBA,TBA,TBA,0
FOLK, 993,TBA,TBA,TBA,TBA,0
FOLK, 993,TBA,TBA,TBA,TBA,0
ANTH,  53H,Alumni,0205,TuTh,09:30 - 10:45,20
ANTH,  62,Alumni,0205,MWF,11:15 - 12:05,23
ANTH,  66H,Graham Memorial,0035,MWF,11:15 - 12:05,24
ANTH,  89,Alumni,0203,MWF,10:10 - 11:00,22
ANTH, 101,Manning,0209,TuTh,14:00 - 15:15,175
ANTH, 101,Manning,0209,MWF,15:35 - 16:25,138
ANTH, 101,Hamilton Hall,0517,Th,12:30 - 13:20,20
ANTH, 101,Tate Turner Kuralt,0113,Tu,17:00 - 17:50,20
