,index,level_0,level_1,Bldg:,Room:,Days:,Time:,Class Enrl Tot:,start_time,end_time
1601,1601,GEOG, 451,Carolina Hall,0204,MWF,13:25 - 14:15,15,1900-01-01 13:25:00,1900-01-01 14:15:00
1603,1603,GEOG, 458,Carolina Hall,0204,MWF,14:30 - 15:20,8,1900-01-01 14:30:00,1900-01-01 15:20:00
2805,2805,RELI,  63,Carolina Hall,0204,MW,17:00 - 18:15,20,1900-01-01 17:00:00,1900-01-01 18:15:00
349,349,CHIN, 101,Carolina Hall,0213,MW,13:25 - 14:15,12,1900-01-01 13:25:00,1900-01-01 14:15:00
388,388,JAPN, 101,Carolina Hall,0213,MTuWTh,14:30 - 15:20,21,1900-01-01 14:30:00,1900-01-01 15:20:00
384,384,JAPN, 101,Carolina Hall,0213,MTuWTh,15:35 - 16:25,20,1900-01-01 15:35:00,1900-01-01 16:25:00
4,4,AAAD, 201,Carolina Hall,0220,MWF,08:00 - 08:50,32,1900-01-01 08:00:00,1900-01-01 08:50:00
1583,1583,GEOG, 225,Carolina Hall,0220,MWF,09:05 - 09:55,43,1900-01-01 09:05:00,1900-01-01 09:55:00
3261,3261,WGST, 225,Carolina Hall,0220,MWF,09:05 - 09:55,5,1900-01-01 09:05:00,1900-01-01 09:55:00
27,27,LGLA, 403,Carolina Hall,0220,MWF,10:10 - 11:00,8,1900-01-01 10:10:00,1900-01-01 11:00:00
1585,1585,GEOG, 237,Carolina Hall,0220,MWF,11:15 - 12:05,17,1900-01-01 11:15:00,1900-01-01 12:05:00
1586,1586,GEOG, 261,Carolina Hall,0220,MWF,13:25 - 14:15,22,1900-01-01 13:25:00,1900-01-01 14:15:00
1587,1587,GEOG, 266,Carolina Hall,0220,MWF,14:30 - 15:20,23,1900-01-01 14:30:00,1900-01-01 15:20:00
1588,1588,GEOG, 269,Carolina Hall,0220,M,15:35 - 18:35,19,1900-01-01 15:35:00,1900-01-01 18:35:00
3032,3032,SPAN, 203,Carolina Hall,0322,MWF,10:10 - 11:00,19,1900-01-01 10:10:00,1900-01-01 11:00:00
3070,3070,SPAN, 204,Carolina Hall,0322,MWF,11:15 - 12:05,17,1900-01-01 11:15:00,1900-01-01 12:05:00
2427,2427,PLAN, 720,Carolina Hall,0322,M,12:20 - 13:10,11,1900-01-01 12:20:00,1900-01-01 13:10:00
1591,1591,GEOG, 370,Carolina Hall,0322,M,13:25 - 14:15,16,1900-01-01 13:25:00,1900-01-01 14:15:00
1607,1607,GEOG, 491,Carolina Hall,0322,M,14:30 - 15:20,23,1900-01-01 14:30:00,1900-01-01 15:20:00
2412,2412,PLAN, 491,Carolina Hall,0322,M,14:30 - 15:20,2,1900-01-01 14:30:00,1900-01-01 15:20:00
1609,1609,GEOG, 541,Carolina Hall,0322,M,15:35 - 18:35,19,1900-01-01 15:35:00,1900-01-01 18:35:00
