,index,level_0,level_1,Bldg:,Room:,Days:,Time:,Class Enrl Tot:,start_time,end_time
1604,1604,GEOG, 470,Peabody,0216,MWF,13:25 - 14:15,19,1900-01-01 13:40:00,1900-01-01 14:30:00
30,30,SWAH, 403,Peabody,0216,MWF,15:35 - 16:25,6,1900-01-01 15:35:00,1900-01-01 16:25:00
1021,1021,ENGL,  89,Peabody,0216,MW,16:40 - 17:55,11,1900-01-01 16:55:00,1900-01-01 18:10:00
2261,2261,PHIL,  89,Peabody,0216,MW,16:40 - 17:55,10,1900-01-01 18:40:00,1900-01-01 19:55:00
405,405,KOR, 203,Peabody,0217,MTuWTh,14:30 - 15:20,19,1900-01-01 14:30:00,1900-01-01 15:20:00
350,350,CHIN, 101,Peabody,0217,MTuWTh,15:35 - 16:25,18,1900-01-01 15:50:00,1900-01-01 16:40:00
3651,3651,EDUC, 691H,Peabody,0217,W,17:15 - 19:30,6,1900-01-01 17:15:00,1900-01-01 19:30:00
174,174,ANTH, 232,Peabody,0218,MWF,10:10 - 11:00,35,1900-01-01 10:10:00,1900-01-01 11:00:00
3694,3694,EDUC, 915,Peabody,0218,W,16:00 - 18:45,17,1900-01-01 16:00:00,1900-01-01 18:45:00
16,16,AAAD, 315,Peabody,0220,MWF,13:25 - 14:15,30,1900-01-01 13:25:00,1900-01-01 14:15:00
3640,3640,EDUC, 615,Peabody,0220,MW,15:35 - 16:50,26,1900-01-01 15:35:00,1900-01-01 16:50:00
3652,3652,EDUC, 694H,Peabody,0220,W,17:15 - 19:30,5,1900-01-01 17:20:00,1900-01-01 19:35:00
1429,1429,ENEC, 368,Peabody,0306,MWF,09:05 - 09:55,11,1900-01-01 09:05:00,1900-01-01 09:55:00
2301,2301,PHIL, 368,Peabody,0306,MWF,09:05 - 09:55,27,1900-01-01 10:25:00,1900-01-01 11:15:00
3585,3585,EDUC, 101,Peabody,0306,MW,10:10 - 11:00,22,1900-01-01 11:45:00,1900-01-01 12:35:00
1176,1176,ENGL, 140,Peabody,0306,MWF,12:20 - 13:10,21,1900-01-01 13:05:00,1900-01-01 13:55:00
